date,cases,recovered,died,new_cases,new_recovered,new_died
2020-02-25,1,0,0,1,0,0
2020-02-26,3,0,0,2,0,0
2020-02-28,5,0,0,2,0,0
2020-02-29,6,0,0,1,0,0
2020-03-01,7,0,0,1,0,0
2020-03-02,8,0,0,1,0,0
2020-03-03,9,0,0,1,0,0
2020-03-04,10,0,0,1,0,0
2020-03-06,11,0,0,1,0,0
2020-03-07,12,0,0,1,0,0
2020-03-09,13,0,0,1,0,0
2020-03-10,15,0,0,2,0,0
2020-03-11,19,0,0,4,0,0
2020-03-12,27,1,0,8,1,0
2020-03-13,32,1,0,5,0,0
2020-03-14,39,2,0,7,1,0
2020-03-15,49,3,0,10,1,0
2020-03-16,56,4,0,7,1,0
2020-03-17,69,5,0,13,1,0
2020-03-18,87,5,0,18,0,0
2020-03-19,110,5,1,23,0,1
2020-03-20,128,5,1,18,0,0
2020-03-21,206,5,1,78,0,0
2020-03-22,254,5,1,48,0,0
2020-03-23,315,5,1,61,0,0
2020-03-24,382,16,1,67,11,0
2020-03-25,442,22,1,60,6,0
2020-03-26,495,22,2,53,0,1
2020-03-27,586,37,3,91,15,1
2020-03-28,657,49,5,71,12,2
2020-03-29,713,52,6,56,3,1
2020-03-30,790,64,6,77,12,0
2020-03-31,867,67,6,77,3,0
2020-04-01,963,73,6,96,6,0
2020-04-02,1011,88,7,48,15,1
2020-04-03,1079,92,8,68,4,1
2020-04-04,1126,119,12,47,27,4
2020-04-05,1182,125,15,56,6,3